nb_cycle_retour,moy_cycle_retour,d_eau,propor_utilisa_retour
65,21,20.0,41.885964912280706
66,21,20.0,41.885964912280706
66,21,20.0,41.885964912280706
66,21,20.0,41.885964912280706
66,21,20.0,41.885964912280706
67,21,20.0,41.885964912280706
67,21,20.0,41.885964912280706
67,21,20.0,41.885964912280706
67,21,20.0,41.885964912280706
68,21,20.0,41.885964912280706
68,21,20.0,41.885964912280706
68,21,20.0,41.885964912280706
68,21,20.0,41.885964912280706
69,21,20.0,41.885964912280706
69,21,20.0,41.885964912280706
69,21,20.0,41.885964912280706
69,21,20.0,41.885964912280706
70,21,20.0,41.885964912280706
70,21,20.0,41.885964912280706
70,21,20.0,41.885964912280706
70,21,20.0,41.885964912280706
71,21,20.0,41.885964912280706
71,21,20.0,41.885964912280706
71,21,20.0,41.885964912280706
71,21,20.0,41.885964912280706
72,21,20.0,41.885964912280706
72,21,20.0,41.885964912280706
72,21,20.0,41.885964912280706
72,21,20.0,41.885964912280706
73,21,20.0,41.885964912280706
73,21,20.0,41.885964912280706
73,21,20.0,41.885964912280706
73,21,20.0,41.885964912280706
50,21,20.0,41.885964912280706
74,21,20.0,41.885964912280706
51,21,20.0,41.885964912280706
51,21,20.0,41.885964912280706
74,21,20.0,41.885964912280706
51,21,20.0,41.885964912280706
74,21,20.0,41.885964912280706
74,21,20.0,41.885964912280706
51,21,20.0,41.885964912280706
75,21,20.0,41.885964912280706
52,21,20.0,41.885964912280706
52,21,20.0,41.885964912280706
75,21,20.0,41.885964912280706
75,21,20.0,41.885964912280706
52,21,20.0,41.885964912280706
75,21,20.0,41.885964912280706
76,21,20.0,41.885964912280706
76,21,20.0,41.885964912280706
76,21,20.0,41.885964912280706
76,21,20.0,41.885964912280706
77,21,20.0,41.885964912280706
50,23,20.0,42.83625730994152
50,23,20.0,42.83625730994152
50,23,20.0,42.83625730994152
51,23,20.0,42.83625730994152
51,21,20.0,42.54385964912281
51,21,20.0,42.54385964912281
51,23,20.0,42.83625730994152
51,23,20.0,42.83625730994152
51,23,20.0,42.83625730994152
52,23,20.0,42.83625730994152
50,22,20.0,43.20175438596491
52,23,20.0,42.83625730994152
50,22,20.0,43.20175438596491
52,23,20.0,42.83625730994152
50,22,20.0,43.20175438596491
50,22,20.0,43.20175438596491
52,23,20.0,42.83625730994152
53,23,20.0,42.83625730994152
51,22,20.0,43.20175438596491
53,23,20.0,42.83625730994152
51,22,20.0,43.20175438596491
53,23,20.0,42.83625730994152
51,22,20.0,43.20175438596491
53,23,20.0,42.83625730994152
54,23,20.0,42.83625730994152
54,23,20.0,42.83625730994152
54,23,20.0,42.83625730994152
54,23,20.0,42.83625730994152
50,22,20.0,42.98245614035088
51,22,20.0,42.98245614035088
55,23,20.0,42.83625730994152
55,23,20.0,42.83625730994152
51,22,20.0,42.98245614035088
55,23,20.0,42.83625730994152
51,22,20.0,42.98245614035088
55,23,20.0,42.83625730994152
51,22,20.0,42.98245614035088
52,22,20.0,42.98245614035088
56,23,20.0,42.83625730994152
56,23,20.0,42.83625730994152
52,22,20.0,42.98245614035088
56,23,20.0,42.83625730994152
52,22,20.0,42.98245614035088
52,22,20.0,42.98245614035088
53,22,20.0,42.98245614035088
53,22,20.0,42.98245614035088
53,22,20.0,42.98245614035088
0,0,20.0,44.37134502923977
53,22,20.0,42.98245614035088
54,22,20.0,42.98245614035088
57,23,20.0,44.37134502923977
54,22,20.0,42.98245614035088
57,23,20.0,44.37134502923977
54,22,20.0,42.98245614035088
57,23,20.0,44.37134502923977
57,23,20.0,44.37134502923977
54,22,20.0,42.98245614035088
55,22,20.0,42.98245614035088
55,22,20.0,42.98245614035088
