nb_cycle_retour,moy_cycle_retour,d_veg,propor_utilisa_retour
56,24,15.0,52.55847953216374
56,24,15.0,52.55847953216374
56,24,15.0,52.55847953216374
57,24,15.0,52.55847953216374
57,24,15.0,52.55847953216374
57,24,15.0,52.55847953216374
57,24,15.0,52.55847953216374
58,24,15.0,52.55847953216374
58,24,15.0,52.55847953216374
0,0,15.0,0.0
0,0,15.0,0.0
0,0,15.0,52.119883040935676
35,23,15.0,52.119883040935676
35,23,15.0,52.119883040935676
35,23,15.0,52.119883040935676
36,23,15.0,52.119883040935676
36,23,15.0,52.119883040935676
36,23,15.0,52.119883040935676
36,23,15.0,52.119883040935676
37,23,15.0,52.119883040935676
37,23,15.0,52.119883040935676
37,23,15.0,52.119883040935676
37,23,15.0,52.119883040935676
38,23,15.0,52.119883040935676
38,23,15.0,52.119883040935676
38,23,15.0,52.119883040935676
38,23,15.0,52.119883040935676
39,23,15.0,52.119883040935676
39,23,15.0,52.119883040935676
39,23,15.0,52.119883040935676
39,23,15.0,52.119883040935676
40,23,15.0,52.119883040935676
40,23,15.0,52.119883040935676
40,23,15.0,52.119883040935676
40,23,15.0,52.119883040935676
41,23,15.0,52.119883040935676
41,23,15.0,52.119883040935676
41,23,15.0,52.119883040935676
41,23,15.0,52.119883040935676
42,23,15.0,52.119883040935676
42,23,15.0,52.119883040935676
41,23,15.0,53.50877192982456
42,23,15.0,52.119883040935676
41,23,15.0,53.50877192982456
37,22,15.0,52.99707602339181
37,22,15.0,52.99707602339181
40,23,15.0,53.72807017543859
40,23,15.0,53.72807017543859
40,23,15.0,53.72807017543859
40,23,15.0,53.72807017543859
41,23,15.0,53.72807017543859
41,23,15.0,53.72807017543859
44,24,15.0,51.09649122807017
44,24,15.0,51.09649122807017
44,24,15.0,51.09649122807017
46,23,15.0,52.33918128654971
44,24,15.0,51.09649122807017
46,23,15.0,52.33918128654971
46,23,15.0,52.33918128654971
45,24,15.0,51.09649122807017
45,24,15.0,51.09649122807017
33,23,15.0,53.94736842105263
33,23,15.0,53.94736842105263
34,23,15.0,53.94736842105263
34,23,15.0,53.94736842105263
34,23,15.0,53.94736842105263
34,23,15.0,53.94736842105263
49,24,15.0,51.68128654970761
49,24,15.0,51.68128654970761
49,24,15.0,51.68128654970761
49,24,15.0,51.68128654970761
50,24,15.0,51.68128654970761
50,24,15.0,51.68128654970761
50,24,15.0,51.68128654970761
50,24,15.0,51.68128654970761
51,24,15.0,51.68128654970761
51,24,15.0,51.68128654970761
51,24,15.0,51.68128654970761
51,24,15.0,51.68128654970761
52,24,15.0,51.68128654970761
52,24,15.0,51.68128654970761
41,24,15.0,54.751461988304094
52,24,15.0,51.68128654970761
41,24,15.0,54.751461988304094
52,24,15.0,51.68128654970761
53,24,15.0,51.68128654970761
41,24,15.0,54.751461988304094
53,24,15.0,51.68128654970761
41,24,15.0,54.751461988304094
53,24,15.0,51.68128654970761
53,24,15.0,51.68128654970761
54,24,15.0,51.68128654970761
54,24,15.0,51.68128654970761
54,24,15.0,51.68128654970761
54,24,15.0,51.68128654970761
55,24,15.0,51.68128654970761
55,24,15.0,51.68128654970761
55,24,15.0,51.68128654970761
