nb_cycle_retour,moy_cycle_retour,d_eau / 1000,propor_utilisa_retour
35,24,25.0,55.84795321637427
35,24,25.0,55.48245614035088
35,24,25.0,55.84795321637427
36,24,25.0,55.84795321637427
35,24,25.0,55.48245614035088
36,24,25.0,55.84795321637427
35,24,25.0,55.48245614035088
36,24,25.0,55.84795321637427
37,24,25.0,55.55555555555556
36,24,25.0,55.84795321637427
37,24,25.0,55.55555555555556
37,24,25.0,55.84795321637427
37,24,25.0,55.84795321637427
37,24,25.0,55.55555555555556
38,24,25.0,55.55555555555556
37,24,25.0,55.84795321637427
38,24,25.0,55.55555555555556
37,24,25.0,55.84795321637427
38,24,25.0,55.55555555555556
38,24,25.0,55.84795321637427
38,24,25.0,55.55555555555556
38,24,25.0,55.84795321637427
35,24,25.0,55.409356725146196
39,24,25.0,55.55555555555556
36,24,25.0,55.409356725146196
39,24,25.0,55.55555555555556
36,24,25.0,55.409356725146196
39,24,25.0,55.55555555555556
36,24,25.0,55.409356725146196
36,24,25.0,55.409356725146196
37,24,25.0,55.409356725146196
37,24,25.0,55.409356725146196
37,24,25.0,55.336257309941516
38,24,25.0,55.336257309941516
37,24,25.0,55.409356725146196
38,24,25.0,55.336257309941516
38,24,25.0,55.336257309941516
38,24,25.0,55.336257309941516
39,24,25.0,55.336257309941516
39,24,25.0,55.336257309941516
39,24,25.0,55.336257309941516
