grid_x,grid_y,nb_trp_inside,impact_trp_aller,s_nb_trp_inside,impact_trp_aller
28,5,1,0.0,2,0.0
9,3,3,0.0000330468,27,0.0000330468
29,5,0,0.0,0,0.0
29,7,1,0.0000314861,15,0.0000314861
30,5,0,0.0,0,0.0
23,5,1,0.0000224703,86,0.0000224703
31,5,0,0.0,0,0.0
29,11,1,0.0000647311,54,0.0000647311
32,5,0,0.0,0,0.0
21,2,1,0.0000329229,7,0.0000329229
26,6,2,0.0,14,0.0
33,5,0,0.0,0,0.0
34,5,0,0.0,0,0.0
20,6,1,0.0000152352,39,0.0000152352
35,5,0,0.0,0,0.0
22,3,3,0.0000501647,14,0.0000501647
0,6,0,0.0,0,0.0
29,6,1,0.0,8,0.0
1,6,0,0.0,0,0.0
30,6,1,0.0,2,0.0
2,6,0,0.0,0,0.0
31,6,0,0.0,0,0.0
3,6,1,0.0,4,0.0
32,6,0,0.0,0,0.0
4,6,1,0.0,37,0.0
33,6,0,0.0,0,0.0
5,6,1,0.0,1,0.0
34,6,0,0.0,0,0.0
6,6,1,0.0,2,0.0
35,6,0,0.0,0,0.0
7,6,0,0.0,0,0.0
0,7,0,0.0,0,0.0
8,6,1,0.0,91,0.0
1,7,0,0.0,0,0.0
9,6,1,0.0,9,0.0
2,7,0,0.0,0,0.0
10,6,1,0.0,2,0.0
3,7,0,0.0,0,0.0
11,6,1,0.0,3,0.0
4,7,1,0.0,6,0.0
12,6,1,0.0,31,0.0
5,7,1,0.0,17,0.0
13,6,1,0.0,16,0.0
6,7,1,0.0,1,0.0
14,6,1,0.0,29,0.0
7,7,0,0.0,0,0.0
15,6,1,0.0,63,0.0
8,7,1,0.0,94,0.0
16,6,1,0.0,31,0.0
9,7,1,0.0,7,0.0
17,6,0,0.0,0,0.0
10,7,1,0.0,2,0.0
18,6,1,0.0,25,0.0
11,7,0,0.0,0,0.0
19,6,1,0.0,52,0.0
12,7,1,0.0,272,0.0
20,6,1,0.0,96,0.0
13,7,1,0.0,49,0.0
