nb_cycle_retour,moy_cycle_retour,d_eau,propor_utilisa_retour
30,19,10.0,58.99122807017544
32,19,10.0,58.91812865497076
32,19,10.0,58.77192982456141
31,19,10.0,58.99122807017544
33,19,10.0,58.91812865497076
32,19,10.0,58.77192982456141
31,19,10.0,58.99122807017544
33,19,10.0,58.77192982456141
31,19,10.0,58.77192982456141
33,19,10.0,58.91812865497076
31,19,10.0,58.99122807017544
33,19,10.0,58.77192982456141
33,19,10.0,58.91812865497076
31,19,10.0,58.77192982456141
33,19,10.0,58.91812865497076
31,19,10.0,58.99122807017544
33,19,10.0,58.77192982456141
31,19,10.0,58.77192982456141
34,19,10.0,58.91812865497076
32,19,10.0,58.99122807017544
33,19,10.0,58.77192982456141
32,19,10.0,58.77192982456141
32,19,10.0,58.99122807017544
32,19,10.0,58.77192982456141
34,19,10.0,58.91812865497076
34,19,10.0,58.77192982456141
34,19,10.0,58.91812865497076
32,19,10.0,58.77192982456141
34,19,10.0,58.77192982456141
32,19,10.0,58.99122807017544
34,19,10.0,58.62573099415205
34,19,10.0,58.77192982456141
34,19,10.0,58.91812865497076
32,19,10.0,58.77192982456141
32,19,10.0,58.99122807017544
35,19,10.0,58.91812865497076
33,19,10.0,58.99122807017544
34,19,10.0,58.77192982456141
