nb_cycle_retour,moy_cycle_retour,dist_perturb,jour_perturb,propor_utilisa_retour
24,16,10.0,1,52.85087719298246
24,16,10.0,1,52.85087719298246
24,16,10.0,1,52.85087719298246
24,16,10.0,1,52.85087719298246
25,16,10.0,1,52.85087719298246
25,16,10.0,1,52.85087719298246
0,0,10.0,1,0.0
23,16,10.0,1,52.92397660818714
24,16,10.0,1,52.92397660818714
24,16,10.0,1,52.85087719298246
24,16,10.0,1,52.92397660818714
0,0,10.0,1,0.0
24,16,10.0,1,52.92397660818714
22,16,10.0,1,52.92397660818714
23,16,10.0,1,52.92397660818714
23,16,10.0,1,52.92397660818714
23,16,10.0,1,52.92397660818714
23,16,10.0,1,52.92397660818714
23,16,10.0,2,52.85087719298246
23,16,10.0,2,52.85087719298246
24,16,10.0,2,52.85087719298246
24,16,10.0,2,52.85087719298246
24,16,10.0,2,52.85087719298246
24,16,10.0,1,52.85087719298246
24,16,10.0,2,52.85087719298246
24,16,10.0,1,52.85087719298246
25,16,10.0,2,52.85087719298246
23,15,10.0,2,52.85087719298246
24,15,10.0,2,52.85087719298246
24,15,10.0,2,52.85087719298246
24,15,10.0,2,52.85087719298246
24,15,10.0,2,52.85087719298246
0,0,10.0,2,0.0
0,0,10.0,2,0.0
23,16,10.0,2,52.85087719298246
23,16,10.0,2,52.85087719298246
23,16,10.0,2,52.85087719298246
23,16,10.0,2,52.85087719298246
23,16,10.0,2,52.85087719298246
